# TextelNames.txt,v 1.99
# Janusz S. Bień, 2017-11-18
#
# Format follows NamedSequences-6.0.0.txt
# Date: 2010-05-18, 10:48:00 PDT [KW]
#
# The header of NamedSequences-6.0.0.txt
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# Format:
# Name of Sequence; Code Point Sequence for USI
#
# Code point sequences in the UCD use spaces as delimiters.
# The corresponding format for a USI in ISO/IEC 10646 uses
# comma delimitation and angle brackets. Thus, a named sequence
# of the form:
#
# EXAMPLE NAME;1000 1001 1002
#
# in this data file, would correspond to a 10646 USI as follows:
#
# <1000, 1001, 1002> 
#
# Note: The order of entries in this file is not significant.
# However, entries are generally in script order corresponding
# to block order in the Unicode Standard, to make it easier
# to find entries in the list.
#
# The end of the NamedSequences-6.0.0.txt header
# ================================================

# 0
CHARACTER TABULATION; 0009
LINE FEED (LF); 000A
FORM FEED (FF); 000C
CARRIAGE RETURN (CR); 000D
INFORMATION SEPARATOR THREE; 001D
INFORMATION SEPARATOR ONE; 001F
# LATIN SMALL LETTER I WITH ACUTE ACCENT (!!!); 0x000069 0x000301
LATIN SMALL LETTER Z WITH COMBINING MACRON; 007A 0304
LATIN SMALL LETTER Z WITH DOUBLE COMBINING MACRON; 007A 0304 0304
LATIN CAPITAL LETTER A WITH MACRON AND GRAVE;0100 0300
# A
LATIN SMALL LETTER ET; A76B
# E
LATIN SMALL LETTER A WITH LATIN SMALL LETTER E ABOVE [MUFI]; E42C
LATIN SMALL LETTER B WITH ACUTE [MUFI]; E444
LATIN SMALL LETTER O WITH LATIN SMALL LETTER E ABOVE [MUFI]; E644
LATIN SMALL LETTER M WITH MEDIUM HIGH MACRON ABOVE [MUFI]; E5B8
LATIN SMALL LETTER M WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER) [MUFI]; E5D2
LATIN SMALL LETTER N WITH MEDIUM HIGH MACRON ABOVE [MUFI]; E5DC
LATIN SMALL LETTER P WITH MACRON [MUFI]; E665
LATIN SMALL LETTER V WITH DOT ABOVE [MUFI]; E74C
LATIN SMALL LETTER Q LIGATED WITH R ROTUNDA [MUFI]; E8B3
LATIN SMALL LETTER Q WITH CENTRAL SLANTED STROKE [MUFI]; E8B4
LATIN SMALL LETTER V WITH SHORT SLASH [MUFI]; E8BA
LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI]; E8BF
LATIN SMALL LIGATURE LONG S DESCENDING T [MUFI]; EADA
LATIN SMALL LIGATURE LONG S I [MUFI]; EBA2
LATIN SMALL LIGATURE LONG S L [MUFI]; EBA3
LATIN SMALL LIGATURE LONG S LONG S [MUFI]; EBA6
LATIN SMALL LIGATURE LONG S LONG S I [MUFI]; EBA7
LATIN SMALL LIGATURE CT [MUFI]; EEC5
# F
COMBINING MEDIUM-HIGH OVERLINE WITH FIXED HEIGHT (FULL-WIDTH) [MUFI]; F00D
COMBINING MEDIUM-HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH) [MUFI];F00B
LATIN ABBREVIATION SIGN SPACING BASE-LINE CAPITAL US [MUFI]; F1A5
LATIN ABBREVIATION SIGN SPACING BASE-LINE US [MUFI]; F1A6
LATIN ABBREVIATION SIGN SEMICOLON [MUFI]; F1AC
LATIN SMALL LETTER A INSULAR FORM [MUFI]; F200
LATIN SMALL LIGATURE LL [MUFI]; F4F9
LATIN SMALL LETTER C WITH MACRON ABOVE [Aletheia]; F501
LATIN SMALL LETTER G WITH RING ABOVE [Aletheia]; F504
LATIN SMALL LETTER Q LIGATED WITH FINAL ET WITH OVERLINE [Aletheia]; F509
LATIN SMALL LETTER D WITH APOSTROPHE [Aletheia]; F50A
LATIN SMALL LETTER L WITH APOSTROPHE [Aletheia]; F50B
LATIN SMALL LETTER Q WITH ACUTE ACCENT ABOVE AND SEMICOLON ON THE RIGHT [Aletheia]; F50C
LATIN SMALL LETTER Q LIGATED WITH FINAL ET AND ACUTE ACCENT [Aletheia]; F50D
LATIN SMALL LETTER Q WITH ACUTE ACCENT [Aletheia]; F50E
LATIN SMALL LETTER R WITH MACRON ABOVE [Aletheia]; F510
LATIN SMALL LETTER S WITH MACRON ABOVE [Aletheia]; F511
LATIN SMALL LETTER W WITH BREVE [Aletheia]; F514
LATIN SMALL LETTER Z WITH TILDE [Aletheia]; F516
LATIN SMALL LETTER M WITH TILDE [Aletheia]; F519
PENDING CHARACTER [Aletheia]; F51C
LATIN SMALL LETTER Z WITH HOOK ABOVE [Aletheia]; F51D
LATIN SMALL LIGATURE LONG S L WITH STROKE [Aletheia]; F51E
LATIN SMALL LETTER U WITH LATIN SMALL LETTER E ABOVE  [MUFI]; E72B


